name,bioguideId,state,party,district,url
"Plaskett, Stacey E.",P000610,Virgin Islands,Democratic,N/A,https://api.congress.gov/v3/member/P000610?format=json
"Pocan, Mark",P000607,Wisconsin,Democratic,2,https://api.congress.gov/v3/member/P000607?format=json
"DelBene, Suzan K.",D000617,Washington,Democratic,1,https://api.congress.gov/v3/member/D000617?format=json
"Smith, Adam",S000510,Washington,Democratic,9,https://api.congress.gov/v3/member/S000510?format=json
"Moore, Gwen",M001160,Wisconsin,Democratic,4,https://api.congress.gov/v3/member/M001160?format=json
"Larsen, Rick",L000560,Washington,Democratic,2,https://api.congress.gov/v3/member/L000560?format=json
"Vindman, Eugene Simon",V000138,Virginia,Democratic,7,https://api.congress.gov/v3/member/V000138?format=json
"Subramanyam, Suhas",S001230,Virginia,Democratic,10,https://api.congress.gov/v3/member/S001230?format=json
"McGuire, John J.",M001239,Virginia,Republican,5,https://api.congress.gov/v3/member/M001239?format=json
"Kennedy, Mike",K000403,Utah,Republican,3,https://api.congress.gov/v3/member/K000403?format=json
"Johnson, Julie",J000310,Texas,Democratic,32,https://api.congress.gov/v3/member/J000310?format=json
"Gill, Brandon",G000603,Texas,Republican,26,https://api.congress.gov/v3/member/G000603?format=json
"Maloy, Celeste",M001228,Utah,Republican,2,https://api.congress.gov/v3/member/M001228?format=json
"McClellan, Jennifer L.",M001227,Virginia,Democratic,4,https://api.congress.gov/v3/member/M001227?format=json
"Kiggans, Jennifer A.",K000399,Virginia,Republican,2,https://api.congress.gov/v3/member/K000399?format=json
"Hunt, Wesley",H001095,Texas,Republican,38,https://api.congress.gov/v3/member/H001095?format=json
"Crockett, Jasmine",C001130,Texas,Democratic,30,https://api.congress.gov/v3/member/C001130?format=json
"Casar, Greg",C001131,Texas,Democratic,35,https://api.congress.gov/v3/member/C001131?format=json
"Van Duyne, Beth",V000134,Texas,Republican,24,https://api.congress.gov/v3/member/V000134?format=json
"Owens, Burgess",O000086,Utah,Republican,4,https://api.congress.gov/v3/member/O000086?format=json
"Nehls, Troy E.",N000026,Texas,Republican,22,https://api.congress.gov/v3/member/N000026?format=json
"Moore, Blake D.",M001213,Utah,Republican,1,https://api.congress.gov/v3/member/M001213?format=json
"Gonzales, Tony",G000594,Texas,Republican,23,https://api.congress.gov/v3/member/G000594?format=json
"Cline, Ben",C001118,Virginia,Republican,6,https://api.congress.gov/v3/member/C001118?format=json
"Garcia, Sylvia R.",G000587,Texas,Democratic,29,https://api.congress.gov/v3/member/G000587?format=json
"Roy, Chip",R000614,Texas,Republican,21,https://api.congress.gov/v3/member/R000614?format=json
"Cloud, Michael",C001115,Texas,Republican,27,https://api.congress.gov/v3/member/C001115?format=json
"Gonzalez, Vicente",G000581,Texas,Democratic,34,https://api.congress.gov/v3/member/G000581?format=json
"Beyer, Donald S.",B001292,Virginia,Democratic,8,https://api.congress.gov/v3/member/B001292?format=json
"Babin, Brian",B001291,Texas,Republican,36,https://api.congress.gov/v3/member/B001291?format=json
"Veasey, Marc A.",V000131,Texas,Democratic,33,https://api.congress.gov/v3/member/V000131?format=json
"Williams, Roger",W000816,Texas,Republican,25,https://api.congress.gov/v3/member/W000816?format=json
"Wittman, Robert J.",W000804,Virginia,Republican,1,https://api.congress.gov/v3/member/W000804?format=json
"Griffith, H. Morgan",G000568,Virginia,Republican,9,https://api.congress.gov/v3/member/G000568?format=json
"Scott, Robert C. ""Bobby""",S000185,Virginia,Democratic,3,https://api.congress.gov/v3/member/S000185?format=json
"Cuellar, Henry",C001063,Texas,Democratic,28,https://api.congress.gov/v3/member/C001063?format=json
"Carter, John R.",C001051,Texas,Republican,31,https://api.congress.gov/v3/member/C001051?format=json
"Doggett, Lloyd",D000399,Texas,Democratic,37,https://api.congress.gov/v3/member/D000399?format=json
"Goldman, Craig A.",G000601,Texas,Republican,12,https://api.congress.gov/v3/member/G000601?format=json
"Biggs, Sheri",B001325,South Carolina,Republican,3,https://api.congress.gov/v3/member/B001325?format=json
"Self, Keith",S001224,Texas,Republican,3,https://api.congress.gov/v3/member/S001224?format=json
"Ogles, Andrew",O000175,Tennessee,Republican,5,https://api.congress.gov/v3/member/O000175?format=json
"Moran, Nathaniel",M001224,Texas,Republican,1,https://api.congress.gov/v3/member/M001224?format=json
"Luttrell, Morgan",L000603,Texas,Republican,8,https://api.congress.gov/v3/member/L000603?format=json
"Fry, Russell",F000478,South Carolina,Republican,7,https://api.congress.gov/v3/member/F000478?format=json
"De La Cruz, Monica",D000594,Texas,Republican,15,https://api.congress.gov/v3/member/D000594?format=json
"Ellzey, Jake",E000071,Texas,Republican,6,https://api.congress.gov/v3/member/E000071?format=json
"Pfluger, August",P000048,Texas,Republican,11,https://api.congress.gov/v3/member/P000048?format=json
"Jackson, Ronny",J000304,Texas,Republican,13,https://api.congress.gov/v3/member/J000304?format=json
"Harshbarger, Diana",H001086,Tennessee,Republican,1,https://api.congress.gov/v3/member/H001086?format=json
"Fallon, Pat",F000246,Texas,Republican,4,https://api.congress.gov/v3/member/F000246?format=json
"Escobar, Veronica",E000299,Texas,Democratic,16,https://api.congress.gov/v3/member/E000299?format=json
"Fletcher, Lizzie",F000468,Texas,Democratic,7,https://api.congress.gov/v3/member/F000468?format=json
"Gooden, Lance",G000589,Texas,Republican,5,https://api.congress.gov/v3/member/G000589?format=json
"Crenshaw, Dan",C001120,Texas,Republican,2,https://api.congress.gov/v3/member/C001120?format=json
"Green, Mark E.",G000590,Tennessee,Republican,7,https://api.congress.gov/v3/member/G000590?format=json
"Rose, John W.",R000612,Tennessee,Republican,6,https://api.congress.gov/v3/member/R000612?format=json
"Burchett, Tim",B001309,Tennessee,Republican,2,https://api.congress.gov/v3/member/B001309?format=json
"Johnson, Dusty",J000301,South Dakota,Republican,N/A,https://api.congress.gov/v3/member/J000301?format=json
"Timmons, William R.",T000480,South Carolina,Republican,4,https://api.congress.gov/v3/member/T000480?format=json
"Norman, Ralph",N000190,South Carolina,Republican,5,https://api.congress.gov/v3/member/N000190?format=json
"Arrington, Jodey C.",A000375,Texas,Republican,19,https://api.congress.gov/v3/member/A000375?format=json
"Kustoff, David",K000392,Tennessee,Republican,8,https://api.congress.gov/v3/member/K000392?format=json
"Castro, Joaquin",C001091,Texas,Democratic,20,https://api.congress.gov/v3/member/C001091?format=json
"Weber, Randy K. Sr.",W000814,Texas,Republican,14,https://api.congress.gov/v3/member/W000814?format=json
"DesJarlais, Scott",D000616,Tennessee,Republican,4,https://api.congress.gov/v3/member/D000616?format=json
"Fleischmann, Charles J. ""Chuck""",F000459,Tennessee,Republican,3,https://api.congress.gov/v3/member/F000459?format=json
"Cohen, Steve",C001068,Tennessee,Democratic,9,https://api.congress.gov/v3/member/C001068?format=json
"Sessions, Pete",S000250,Texas,Republican,17,https://api.congress.gov/v3/member/S000250?format=json
"McCaul, Michael T.",M001157,Texas,Republican,10,https://api.congress.gov/v3/member/M001157?format=json
"Green, Al",G000553,Texas,Democratic,9,https://api.congress.gov/v3/member/G000553?format=json
"Clyburn, James E.",C000537,South Carolina,Democratic,6,https://api.congress.gov/v3/member/C000537?format=json
"Mackenzie, Ryan",M001230,Pennsylvania,Republican,7,https://api.congress.gov/v3/member/M001230?format=json
"Hernández, Pablo Jose",H001103,Puerto Rico,Democratic,N/A,https://api.congress.gov/v3/member/H001103?format=json
"Dexter, Maxine",D000635,Oregon,Democratic,3,https://api.congress.gov/v3/member/D000635?format=json
"Bresnahan, Robert P.",B001327,Pennsylvania,Republican,8,https://api.congress.gov/v3/member/B001327?format=json
"Bynum, Janelle S.",B001326,Oregon,Democratic,5,https://api.congress.gov/v3/member/B001326?format=json
"Amo, Gabe",A000380,Rhode Island,Democratic,1,https://api.congress.gov/v3/member/A000380?format=json
"Salinas, Andrea",S001226,Oregon,Democratic,6,https://api.congress.gov/v3/member/S001226?format=json
"Magaziner, Seth",M001223,Rhode Island,Democratic,2,https://api.congress.gov/v3/member/M001223?format=json
"Lee, Summer L.",L000602,Pennsylvania,Democratic,12,https://api.congress.gov/v3/member/L000602?format=json
"Hoyle, Val T.",H001094,Oregon,Democratic,4,https://api.congress.gov/v3/member/H001094?format=json
"Deluzio, Christopher R.",D000530,Pennsylvania,Democratic,17,https://api.congress.gov/v3/member/D000530?format=json
"Brecheen, Josh",B001317,Oklahoma,Republican,2,https://api.congress.gov/v3/member/B001317?format=json
"Mace, Nancy",M000194,South Carolina,Republican,1,https://api.congress.gov/v3/member/M000194?format=json
"Bice, Stephanie I.",B000740,Oklahoma,Republican,5,https://api.congress.gov/v3/member/B000740?format=json
"Bentz, Cliff",B000668,Oregon,Republican,2,https://api.congress.gov/v3/member/B000668?format=json
"Reschenthaler, Guy",R000610,Pennsylvania,Republican,14,https://api.congress.gov/v3/member/R000610?format=json
"Joyce, John",J000302,Pennsylvania,Republican,13,https://api.congress.gov/v3/member/J000302?format=json
"Meuser, Daniel",M001204,Pennsylvania,Republican,9,https://api.congress.gov/v3/member/M001204?format=json
"Dean, Madeleine",D000631,Pennsylvania,Democratic,4,https://api.congress.gov/v3/member/D000631?format=json
"Hern, Kevin",H001082,Oklahoma,Republican,1,https://api.congress.gov/v3/member/H001082?format=json
"Scanlon, Mary Gay",S001205,Pennsylvania,Democratic,5,https://api.congress.gov/v3/member/S001205?format=json
"Smucker, Lloyd",S001199,Pennsylvania,Republican,11,https://api.congress.gov/v3/member/S001199?format=json
"Fitzpatrick, Brian K.",F000466,Pennsylvania,Republican,1,https://api.congress.gov/v3/member/F000466?format=json
"Evans, Dwight",E000296,Pennsylvania,Democratic,3,https://api.congress.gov/v3/member/E000296?format=json
"Boyle, Brendan F.",B001296,Pennsylvania,Democratic,2,https://api.congress.gov/v3/member/B001296?format=json
"Perry, Scott",P000605,Pennsylvania,Republican,10,https://api.congress.gov/v3/member/P000605?format=json
"Bonamici, Suzanne",B001278,Oregon,Democratic,1,https://api.congress.gov/v3/member/B001278?format=json
"Kelly, Mike",K000376,Pennsylvania,Republican,16,https://api.congress.gov/v3/member/K000376?format=json
"Thompson, Glenn",T000467,Pennsylvania,Republican,15,https://api.congress.gov/v3/member/T000467?format=json
"Lucas, Frank D.",L000491,Oklahoma,Republican,3,https://api.congress.gov/v3/member/L000491?format=json
"Cole, Tom",C001053,Oklahoma,Republican,4,https://api.congress.gov/v3/member/C001053?format=json
"Wilson, Joe",W000795,South Carolina,Republican,2,https://api.congress.gov/v3/member/W000795?format=json
"Taylor, David J.",T000490,Ohio,Republican,2,https://api.congress.gov/v3/member/T000490?format=json
"Riley, Josh",R000622,New York,Democratic,19,https://api.congress.gov/v3/member/R000622?format=json
"Mannion, John W.",M001231,New York,Democratic,22,https://api.congress.gov/v3/member/M001231?format=json
"Latimer, George",L000606,New York,Democratic,16,https://api.congress.gov/v3/member/L000606?format=json
"Rulli, Michael A.",R000619,Ohio,Republican,6,https://api.congress.gov/v3/member/R000619?format=json
"Kennedy, Timothy M.",K000402,New York,Democratic,26,https://api.congress.gov/v3/member/K000402?format=json
"Sykes, Emilia Strong",S001223,Ohio,Democratic,13,https://api.congress.gov/v3/member/S001223?format=json
"Miller, Max L.",M001222,Ohio,Republican,7,https://api.congress.gov/v3/member/M001222?format=json
"Lawler, Michael",L000599,New York,Republican,17,https://api.congress.gov/v3/member/L000599?format=json
"Langworthy, Nicholas A.",L000600,New York,Republican,23,https://api.congress.gov/v3/member/L000600?format=json
"Landsman, Greg",L000601,Ohio,Democratic,1,https://api.congress.gov/v3/member/L000601?format=json
"Ryan, Patrick",R000579,New York,Democratic,18,https://api.congress.gov/v3/member/R000579?format=json
"Carey, Mike",C001126,Ohio,Republican,15,https://api.congress.gov/v3/member/C001126?format=json
"Brown, Shontel M.",B001313,Ohio,Democratic,11,https://api.congress.gov/v3/member/B001313?format=json
"Torres, Ritchie",T000486,New York,Democratic,15,https://api.congress.gov/v3/member/T000486?format=json
"Ocasio-Cortez, Alexandria",O000172,New York,Democratic,14,https://api.congress.gov/v3/member/O000172?format=json
"Morelle, Joseph D.",M001206,New York,Democratic,25,https://api.congress.gov/v3/member/M001206?format=json
"Balderson, Troy",B001306,Ohio,Republican,12,https://api.congress.gov/v3/member/B001306?format=json
"Tenney, Claudia",T000478,New York,Republican,24,https://api.congress.gov/v3/member/T000478?format=json
"Espaillat, Adriano",E000297,New York,Democratic,13,https://api.congress.gov/v3/member/E000297?format=json
"Davidson, Warren",D000626,Ohio,Republican,8,https://api.congress.gov/v3/member/D000626?format=json
"Stefanik, Elise M.",S001196,New York,Republican,21,https://api.congress.gov/v3/member/S001196?format=json
"Joyce, David P.",J000295,Ohio,Republican,14,https://api.congress.gov/v3/member/J000295?format=json
"Beatty, Joyce",B001281,Ohio,Democratic,3,https://api.congress.gov/v3/member/B001281?format=json
"Latta, Robert E.",L000566,Ohio,Republican,5,https://api.congress.gov/v3/member/L000566?format=json
"Jordan, Jim",J000289,Ohio,Republican,4,https://api.congress.gov/v3/member/J000289?format=json
"Tonko, Paul",T000469,New York,Democratic,20,https://api.congress.gov/v3/member/T000469?format=json
"Nadler, Jerrold",N000002,New York,Democratic,12,https://api.congress.gov/v3/member/N000002?format=json
"Turner, Michael R.",T000463,Ohio,Republican,10,https://api.congress.gov/v3/member/T000463?format=json
"Kaptur, Marcy",K000009,Ohio,Democratic,9,https://api.congress.gov/v3/member/K000009?format=json
"Pou, Nellie",P000621,New Jersey,Democratic,9,https://api.congress.gov/v3/member/P000621?format=json
"Goodlander, Maggie",G000604,New Hampshire,Democratic,2,https://api.congress.gov/v3/member/G000604?format=json
"Gillen, Laura",G000602,New York,Democratic,4,https://api.congress.gov/v3/member/G000602?format=json
"Conaway, Herbert C.",C001136,New Jersey,Democratic,3,https://api.congress.gov/v3/member/C001136?format=json
"Vasquez, Gabe",V000136,New Mexico,Democratic,2,https://api.congress.gov/v3/member/V000136?format=json
"LaLota, Nick",L000598,New York,Republican,1,https://api.congress.gov/v3/member/L000598?format=json
"Kean, Thomas H.",K000398,New Jersey,Republican,7,https://api.congress.gov/v3/member/K000398?format=json
"Goldman, Daniel S.",G000599,New York,Democratic,10,https://api.congress.gov/v3/member/G000599?format=json
"Stansbury, Melanie A.",S001218,New Mexico,Democratic,1,https://api.congress.gov/v3/member/S001218?format=json
"Malliotakis, Nicole",M000317,New York,Republican,11,https://api.congress.gov/v3/member/M000317?format=json
"Leger Fernandez, Teresa",L000273,New Mexico,Democratic,3,https://api.congress.gov/v3/member/L000273?format=json
"Garbarino, Andrew R.",G000597,New York,Republican,2,https://api.congress.gov/v3/member/G000597?format=json
"Lee, Susie",L000590,Nevada,Democratic,3,https://api.congress.gov/v3/member/L000590?format=json
"Sherrill, Mikie",S001207,New Jersey,Democratic,11,https://api.congress.gov/v3/member/S001207?format=json
"Van Drew, Jefferson",V000133,New Jersey,Republican,2,https://api.congress.gov/v3/member/V000133?format=json
"Pappas, Chris",P000614,New Hampshire,Democratic,1,https://api.congress.gov/v3/member/P000614?format=json
"Suozzi, Thomas R.",S001201,New York,Democratic,3,https://api.congress.gov/v3/member/S001201?format=json
"Gottheimer, Josh",G000583,New Jersey,Democratic,5,https://api.congress.gov/v3/member/G000583?format=json
"Watson Coleman, Bonnie",W000822,New Jersey,Democratic,12,https://api.congress.gov/v3/member/W000822?format=json
"Norcross, Donald",N000188,New Jersey,Democratic,1,https://api.congress.gov/v3/member/N000188?format=json
"Jeffries, Hakeem S.",J000294,New York,Democratic,8,https://api.congress.gov/v3/member/J000294?format=json
"Meng, Grace",M001188,New York,Democratic,6,https://api.congress.gov/v3/member/M001188?format=json
"Horsford, Steven",H001066,Nevada,Democratic,4,https://api.congress.gov/v3/member/H001066?format=json
"Amodei, Mark E.",A000369,Nevada,Republican,2,https://api.congress.gov/v3/member/A000369?format=json
"Clarke, Yvette D.",C001067,New York,Democratic,9,https://api.congress.gov/v3/member/C001067?format=json
"Titus, Dina",T000468,Nevada,Democratic,1,https://api.congress.gov/v3/member/T000468?format=json
"Pallone, Frank",P000034,New Jersey,Democratic,6,https://api.congress.gov/v3/member/P000034?format=json
"Meeks, Gregory W.",M001137,New York,Democratic,5,https://api.congress.gov/v3/member/M001137?format=json
"Velázquez, Nydia M.",V000081,New York,Democratic,7,https://api.congress.gov/v3/member/V000081?format=json
"Smith, Christopher H.",S000522,New Jersey,Republican,4,https://api.congress.gov/v3/member/S000522?format=json
