HDI_rank,Country,1990,2000,2010,2015,2020,2021,2022,2023,Change_in_HDI_rank_2015_2023,Avg_annual_growth_1990_2000,Avg_annual_growth_2000_2010,Avg_annual_growth_2010_2023,Avg_annual_growth_1990_2023
64.0,Russian Federation,0.762,,0.75,0.808,0.833,0.818,0.813,0.826,0.832,-12.0,-0.15860757658807678,0.7476697157569934,0.22541045516546454
65.0,Belarus,,,0.724,0.803,0.825,0.815,0.817,0.824,0.824,-10.0,,1.041014456994671,0.19878050673378667
66.0,Bahamas,0.762,,0.787,0.801,0.807,0.797,0.794,0.818,0.82,-3.0,0.3233385422864776,0.17648253395101676,0.18049649294047398
67.0,Malaysia,0.653,,0.733,0.779,0.8,0.81,0.802,0.81,0.819,2.0,1.16238957383632,0.6105094986345927,0.3859199760265941
68.0,North Macedonia,0.644,,0.686,0.765,0.795,0.783,0.781,0.811,0.815,4.0,0.6337890127213086,1.0959440071645732,0.4882053919242457
69.0,Armenia,0.663,,0.667,0.747,0.777,0.761,0.786,0.801,0.811,9.0,0.06016865137303817,1.1391913138844911,0.6343331865654722
69.0,Barbados,0.73,,0.762,0.797,0.8,0.803,0.803,0.807,0.811,0.0,0.42994182466034037,0.4500911119586837,0.13403879276034925
71.0,Albania,0.654,,0.682,0.769,0.797,0.794,0.794,0.806,0.81,0.0,0.42010303299715446,1.2078494068528123,0.4003629980676049
72.0,Trinidad and Tobago,0.661,,0.714,0.789,0.808,0.8,0.796,0.805,0.807,-10.0,0.7742733376411515,1.0038385776856673,0.17366868679962177
73.0,Mauritius,0.627,,0.683,0.755,0.792,0.795,0.789,0.794,0.806,0.0,0.8591529039478241,1.0072680310739601,0.5040815704345558
74.0,Bosnia and Herzegovina,,,0.674,0.725,0.769,0.783,0.783,0.799,0.804,7.0,,0.7320821537055267,0.7987703163935267
75.0,Iran (Islamic Republic of),0.626,,0.71,0.778,0.788,0.775,0.777,0.793,0.799,-1.0,1.267106609319324,0.9188109301779601,0.2050901888800638
76.0,Saint Vincent and the Grenadines,,,0.7,0.746,0.765,0.781,0.781,0.794,0.798,11.0,,0.638482315156641,0.5196764058498227
76.0,Thailand,0.584,,0.657,0.742,0.788,0.798,0.8,0.792,0.798,-2.0,1.1847940917808941,1.224083567472034,0.5612565163571004
78.0,China,0.491,,0.598,0.71,0.75,0.786,0.794,0.796,0.797,16.0,1.9910279971974587,1.7315628687239792,0.8931163007012577
79.0,Peru,0.625,,0.682,0.731,0.768,0.769,0.764,0.79,0.794,5.0,0.8765999112384959,0.6962506517397715,0.637949372238289
80.0,Grenada,,,,0.771,0.782,0.782,0.782,0.789,0.791,-4.0,,,0.19719104482509575
81.0,Azerbaijan,,,0.652,0.744,0.771,0.757,0.765,0.784,0.789,-1.0,,1.3287147200409022,0.4527548208075993
81.0,Mexico,0.668,,0.712,0.751,0.773,0.763,0.761,0.783,0.789,-2.0,0.6399362771366102,0.5347018584402008,0.38041921847697946
83.0,Colombia,0.623,,0.679,0.741,0.767,0.764,0.762,0.782,0.788,3.0,0.8644611583082273,0.8776237093171213,0.474178102779077
84.0,Brazil,0.641,,0.69,0.748,0.764,0.77,0.768,0.78,0.786,4.0,0.739341136125482,0.810379748009149,0.3819106152107343
84.0,Palau,,,0.736,0.779,0.802,0.799,0.789,0.786,0.786,-17.0,,0.5694243636965135,0.06883711694107841
86.0,Moldova (Republic of),,,,0.739,0.759,0.77,0.773,0.784,0.785,5.0,,,0.46558663156723856
87.0,Ukraine,0.75,,0.716,0.782,0.778,0.783,0.772,0.772,0.779,-10.0,-0.4628559009150157,0.8856445643864674,-0.02956251154019318
88.0,Ecuador,0.646,,0.683,0.737,0.764,0.74,0.753,0.773,0.777,0.0,0.5585074276483137,0.7638327581497739,0.4073849362099313
